212,"C'Geb1901'MtrC102'TFl","Vorlauftemperatur"
213,"C'Geb1901'MtrC102'TRt","Rücklauftemperatur"
214,"C'Geb1901'MtrC110'Fl","Durchfluss"
215,"C'Geb1901'MtrC110'Pwr","Leistung"
216,"C'Geb1901'MtrC110'TFl","Vorlauftemperatur"
217,"C'Geb1901'MtrC110'TRt","Rücklauftemperatur"
218,"C'Geb1901'MtrC111'Fl","Durchfluss"
219,"C'Geb1901'MtrC111'Pwr","Leistung"
220,"C'Geb1901'MtrC111'TFl","Vorlauftemperatur"
221,"C'Geb1901'MtrC111'TRt","Rücklauftemperatur"
222,"C'Geb1901'MtrC11'Fl","Durchfluss"
223,"C'Geb1901'MtrC11'Pwr","Leistung"
224,"C'Geb1901'MtrC11'TFl","Vorlauftemperatur"
225,"C'Geb1901'MtrC11'TRt","Rücklauftemperatur"
226,"C'Geb1901'MtrC12'Fl","Durchfluss"
227,"C'Geb1901'MtrC12'Pwr","Leistung"
228,"C'Geb1901'MtrC12'TFl","Vorlauftemperatur"
229,"C'Geb1901'MtrC12'TRt","Rücklauftemperatur"
230,"C'Geb1901'MtrC13'Fl","Durchfluss"
231,"C'Geb1901'MtrC13'Pwr","Leistung"
232,"C'Geb1901'MtrC13'TFl","Vorlauftemperatur"
233,"C'Geb1901'MtrC13'TRt","Rücklauftemperatur"
234,"C'Geb1901'MtrC14'Fl","Durchfluss"
235,"C'Geb1901'MtrC14'Pwr","Leistung"
236,"C'Geb1901'MtrC14'TFl","Vorlauftemperatur"
237,"C'Geb1901'MtrC14'TRt","Rücklauftemperatur"
238,"C'Geb1901'MtrEl20'CurrPh1","Stromstärke Phase 1"
239,"C'Geb1901'MtrEl20'CurrPh2","Stromstärke Phase 2"
240,"C'Geb1901'MtrEl20'CurrPh3","Stromstärke Phase 3"
241,"C'Geb1901'MtrEl20'PwrActv","Wirkleistung"
242,"C'Geb1901'MtrEl21'CurrPh1","Stromstärke Phase 1"
243,"C'Geb1901'MtrEl21'CurrPh2","Stromstärke Phase 2"
244,"C'Geb1901'MtrEl21'CurrPh3","Stromstärke Phase 3"
245,"C'Geb1901'MtrEl21'PwrActv","Wirkleistung"
246,"C'Geb1902'MtrC21'Fl","Durchfluss"
247,"C'Geb1902'MtrC21'Pwr","Leistung"
248,"C'Geb1902'MtrC21'TFl","Vorlauftemperatur"
249,"C'Geb1902'MtrC21'TRt","Rücklauftemperatur"
250,"C'Geb1902'MtrC22'Fl","Durchfluss"
251,"C'Geb1902'MtrC22'Pwr","Leistung"
252,"C'Geb1902'MtrC22'TFl","Vorlauftemperatur"
253,"C'Geb1902'MtrC22'TRt","Rücklauftemperatur"
254,"C'Geb1902'MtrC23'Fl","Durchfluss"
255,"C'Geb1902'MtrC23'Pwr","Leistung"
256,"C'Geb1902'MtrC23'TFl","Vorlauftemperatur"
257,"C'Geb1902'MtrC23'TRt","Rücklauftemperatur"
258,"C'PwrCGes","Summe Leistung  Kälte Gebäude 19.01 und 19.02"
259,"DateVector","DateVector"
